,col1,col2,hue
0,0.17841110168302152,"c2,c5",Intracluster_l
1,0.19172900175374152,"c2,c5",Intracluster_l
2,0.17050608337061407,"c2,c5",Intracluster_l
3,0.15930173129604558,"c2,c5",Intracluster_l
4,0.13295018245491963,"c2,c5",Intracluster_l
5,0.21596467453258286,"c2,c5",Intracluster_l
6,0.22539563736594753,"c2,c5",Intracluster_l
7,0.09052790041574717,"c2,c5",Intracluster_l
8,0.11162191780906215,"c2,c5",Intracluster_l
9,0.16096647792189409,"c2,c5",Intracluster_l
10,0.21488282106590237,"c2,c5",Intracluster_l
11,0.16350077401762747,"c2,c5",Intracluster_l
12,0.19070424727051785,"c2,c5",Intracluster_l
13,0.1459475418572865,"c2,c5",Intracluster_l
14,0.1978112613872238,"c2,c5",Intracluster_l
15,0.18878753852635785,"c2,c5",Intracluster_l
16,0.1604764645758235,"c2,c5",Intracluster_l
17,0.21191074806422047,"c2,c5",Intracluster_l
18,0.11597149471069298,"c2,c5",Intracluster_l
19,0.16665981427069318,"c2,c5",Intracluster_l
20,0.16712148603629814,"c2,c5",Intracluster_l
21,0.14296295269301448,"c2,c5",Intracluster_l
22,0.2437536803260128,"c2,c5",Intracluster_l
23,0.16074048054459408,"c2,c5",Intracluster_l
24,0.1303252843505618,"c2,c5",Intracluster_l
25,0.27844537508349737,"c2,c5",Intracluster_l
26,0.16922752227406138,"c2,c5",Intracluster_l
27,0.22095438089568195,"c2,c5",Intracluster_l
28,0.1591299379562931,"c2,c5",Intracluster_l
29,0.23313115811500298,"c2,c5",Intracluster_l
30,0.1432358296225725,"c2,c5",Intracluster_l
31,0.21092005432626462,"c2,c5",Intracluster_l
32,0.16394255301093996,"c2,c5",Intracluster_l
33,0.13191326377774737,"c2,c5",Intracluster_l
34,0.15178023834864424,"c2,c5",Intracluster_l
35,0.20195899240426118,"c2,c5",Intracluster_l
36,0.20298563607662806,"c2,c5",Intracluster_l
37,0.21191672266378273,"c2,c5",Intracluster_l
38,0.20998341291276681,"c2,c5",Intracluster_l
39,0.19289432868300196,"c2,c5",Intracluster_l
40,0.2151527345367405,"c2,c5",Intracluster_l
41,0.2293953481951109,"c2,c5",Intracluster_l
42,0.16188838639215158,"c2,c5",Intracluster_l
43,0.14909654686016605,"c2,c5",Intracluster_l
44,0.1739285880962323,"c2,c5",Intracluster_l
45,0.16748196986218394,"c2,c5",Intracluster_l
46,0.22789805012909045,"c2,c5",Intracluster_l
47,0.18778778911143723,"c2,c5",Intracluster_l
48,0.2409676494787065,"c2,c5",Intracluster_l
49,0.19135735837495058,"c2,c5",Intracluster_l
50,0.15960560722596656,"c2,c5",Intracluster_l
51,0.15276763595189732,"c2,c5",Intracluster_l
52,0.20508200099565402,"c2,c5",Intracluster_l
53,0.22961731035699878,"c2,c5",Intracluster_l
54,0.23772849206200203,"c2,c5",Intracluster_l
55,0.15019207877365007,"c2,c5",Intracluster_l
56,0.15644069754189177,"c2,c5",Intracluster_l
57,0.22277717244111814,"c2,c5",Intracluster_l
58,0.224008184304349,"c2,c5",Intracluster_l
59,0.11389876972779941,"c2,c5",Intracluster_l
60,0.14585440649483264,"c2,c5",Intracluster_l
61,0.1366216332113035,"c2,c5",Intracluster_l
62,0.22244470999332833,"c2,c5",Intracluster_l
63,0.1333979332685328,"c2,c5",Intracluster_l
64,0.23026188420523935,"c2,c5",Intracluster_l
65,0.14124462703053592,"c2,c5",Intracluster_l
66,0.2114109488156102,"c2,c5",Intracluster_l
67,0.1954770193063644,"c2,c5",Intracluster_l
68,0.23815736785198927,"c2,c5",Intracluster_l
69,0.1901222546961024,"c2,c5",Intracluster_l
70,0.13145284703774143,"c2,c5",Intracluster_l
71,0.1318185009782178,"c2,c5",Intracluster_l
